,min,Q1,median,Q3,max,ori_mean,filtered_mean
IGFBP3,0.0,1.351892203898853,4.213599843572576,7.181821583083798,13.674192268145683,4.539359010800645,4.539359010800645
IGHMBP2,1.967168607532628,3.329840641067114,3.733354340613827,4.047666831528826,6.911092331587135,3.7450155092812514,3.7030328697743875
IKBKB,2.0426443374084937,4.170725608464041,4.681448279321472,5.158357215445131,7.328944145449754,4.671393761298697,4.668537917931026
IKBKE,0.0,2.1342209397606338,2.925998169684781,3.568025964562528,5.637204481902295,2.7981641698536235,2.7981641698536235
IKZF1,0.0,0.0285691521967709,0.0840642647884745,0.5210245853128009,8.381369903920268,1.0862160259023452,0.1381131608033901
IL13RA1,0.0,3.552726609372413,4.561937059622433,5.267534486818869,8.658354316774078,4.119544069662924,4.581587999137976
IL1B,0.0,0.2387868595871164,0.5558161550616396,2.1234942681776365,12.239091289226629,1.7192436805912745,0.9757027545360788
IL4R,0.0,2.855989697308481,4.031659786888872,4.838320712264135,8.02983934907253,3.789452533189528,3.789452533189528
ILK,3.753818443173543,5.586011241061995,6.121841784170389,6.602067694614182,8.293195728582118,6.1140303787927355,6.120639661767739
INPP1,0.0,2.604646432537983,3.604663318425013,4.370338645426479,7.2512456897991235,3.428601729180225,3.428601729180225
INPP4B,0.0,0.7290039372969228,2.488000770834068,3.6161811414090876,6.601250804606482,2.371409976058359,2.371409976058359
INSIG1,1.613531652917927,4.549358662468799,5.3755356700137344,6.262282769699153,9.624247145836195,5.393049848743244,5.3869966337259445
INTS3,2.821710215034674,4.448405179575353,4.82145329199162,5.211985566902107,7.656281838092683,4.828083685536207,4.8238035217301025
IPO13,1.584962500721156,3.5276324712424447,3.9597689634599647,4.411425768141456,6.389394724323995,3.9800239171322156,3.9737579116024597
IQGAP1,3.956056652412403,6.25869101476526,6.7471184162939,7.198836567566357,8.76480525840472,6.680458850305352,6.719200875843802
ISOC1,0.3561438102252753,3.747387399652718,4.246027930441568,4.673697726150707,7.907731922352586,4.2214967008384505,4.214329877843362
ITFG1,1.765534746362977,4.266972101349196,4.78214639973443,5.268284084146731,7.106432077816929,4.776731085043885,4.781169613019001
ITGAE,0.1505596765753814,4.981737413164887,5.546894426882516,5.954661114821082,7.451623251541142,5.470227184318901,5.498914667547118
ITGB1BP1,3.7495342676692616,5.478404789990737,5.981737495489428,6.370076118427819,8.63825488694451,5.941446562684522,5.93397151954678
ITGB5,0.0,4.106222262291352,5.84923620097535,6.826611835058029,9.471573612572158,5.247368651072424,5.247368651072424
JADE2,0.0976107966264223,3.203201156316611,3.7829326096438063,4.351732734625271,6.549053029337288,3.716041629142009,3.765295056987314
JMJD6,2.411426245726465,4.456804352059333,4.835923720511065,5.215387378390407,7.189132689905964,4.840749013752388,4.83016886481008
JUN,0.3561438102252753,4.217215021819165,5.436788804730966,6.470414555240936,9.752313737405268,5.212491697713192,5.2332984146860415
KAT6A,0.8639384504239714,3.1566391405459844,3.7213710009769465,4.238595470702718,6.549515160046773,3.7071841071706277,3.6997269971886184
KAT6B,0.8318772411916731,2.3497893493883426,2.803227036434928,3.3522640436180318,6.060047383669939,2.885033223800588,2.85633952689699
KCNK1,0.0,0.2387868595871164,3.228049047884462,4.592456201368566,7.358519341550474,2.791336222716023,2.791336222716023
KCTD5,0.6870606883398922,4.432290873701525,4.783978037707733,5.161252429316848,6.637204481902295,4.789792126002101,4.8011634169782695
KDELR2,3.189033824390017,6.227615941005612,6.789468148090515,7.328697321703189,9.076949173740976,6.710177854708805,6.7446608649268205
KDM3A,2.2600256559614555,3.8042590057239587,4.233043942299571,4.6437108534518865,6.488161489938661,4.24372038131036,4.240642211459404
KDM5A,1.2570106182060237,3.3179539930859736,3.775572649443871,4.157849456440512,5.804260115634738,3.7558793284635383,3.7565119563982825
KDM5B,0.0,3.6510509192411655,4.363170395857505,4.901711275691728,7.045486656359465,4.136619903516779,4.348477535620067
KEAP1,0.1890338243900171,5.2330442482226855,5.59857363010217,5.963067295946362,8.541561301323336,5.576768520682105,5.5854441628691305
KIAA0100,1.3561438102252754,5.377120611851314,5.883620816285672,6.203934939202845,9.266833380682597,5.772921519998181,5.804870403819516
KIAA0753,1.2570106182060237,2.783980128429018,3.1977079437297062,3.6085127606451173,5.976363635732762,3.200242190004381,3.1961385649819296
KIF14,0.722466024471091,2.92789271038804,3.469883625961363,3.9188630008875127,5.625854931368057,3.406810899112283,3.4203546442947754
KIF20A,0.6690267655096305,4.8701165007563825,5.413966341586832,5.979440760036223,7.310431013353771,5.368762517048747,5.396002410259444
KIF2C,2.7070829917717063,5.252476214135217,5.703626711106217,6.129695112523273,7.652773284510777,5.651704106632783,5.700003624722334
KIF5C,0.0,0.14729563836901982,0.5849625007211562,2.129280194734564,8.41087529950613,1.4883267015061783,1.0810959229121508
KIT,0.0,0.0285691521967709,0.1243281350022017,1.109334528611602,8.32791186971499,0.9229474523295554,0.36032632161429196
KLHDC2,2.4594316186372973,4.369291950010626,4.781884139226017,5.224194663970433,6.742545233866053,4.809845701086949,4.810665981916146
KLHL21,0.2750070474998698,3.2075023006987617,3.77820704355827,4.347660967066102,6.277240898332067,3.776314726198343,3.781323750059142
KLHL9,0.0,2.7644723781126377,3.2764958973998173,3.765530075481347,6.423241995973661,3.089194619302402,3.325958037597165
KTN1,2.6484654430273142,6.09518599833847,6.61213107199483,7.068856924005611,9.592400972899949,6.5888691282696685,6.583882394912708
LAGE3,1.713695814843359,4.4317898219302805,4.974987820273863,5.467359838157652,8.444725035835273,4.935874375916153,4.942529430761474
LAMA3,0.0,0.6915133361105845,2.676869832286408,4.904478079951142,9.607219332939456,3.0175165113377185,3.0175165113377185
LAP3,1.7004397181410922,5.273792983804025,5.708736404166306,6.162139314008718,8.455080584687089,5.693937503325583,5.717172301762697
LBR,2.4828482830684653,5.053544049677865,5.682713732959906,6.332126065702512,8.145473670317708,5.67193780870608,5.680901929065212
LGALS8,0.7990873060740036,4.362644930038013,4.975446692757813,5.59133519032397,7.8531223828247505,4.914882069451871,4.974871012292266
LGMN,0.137503523749935,4.824256266472707,5.499525755388616,6.145065625530543,9.37864166802712,5.201221160698397,5.561108242562316
LIG1,2.241840183564671,4.860093597460881,5.391630097790651,5.896692025604114,7.689928105561135,5.3561994271829,5.374692921988392
LIPA,0.2141248053528473,4.339313953158998,4.989593184938768,5.668955620717238,8.07097959571871,4.971586297539081,5.0158684330226775
LOXL1,0.0,0.5409934797458663,1.987319718836559,3.961591396729715,8.98370619265935,2.4879361466857457,2.4879361466857457
LPAR2,0.5753123306874368,2.8948116368664962,3.78816356254843,4.473453380393426,6.611319947684995,3.673742292044745,3.673742292044745
LPGAT1,0.3673710656485294,3.5043024780945404,4.000901121316993,4.4693975893193585,7.642629377520866,3.9938967873595437,3.990858350059759
LRP10,1.38404980679516,4.375037418323763,5.1783162166856425,5.817481095981929,7.655137125875215,5.036072299352764,5.0934721358900275
LRPAP1,2.2357270598380583,5.968032855557061,6.534261951660481,7.135092398557954,9.306471876146045,6.519693857044802,6.555178552532056
LRRC41,0.7570232465074596,4.595740857321764,5.070389263996526,5.489766385466715,6.6748278321868,4.989932482645902,5.03565395838718
LSM5,4.482848283068465,6.13451843477247,6.5168029797983875,6.924277893493914,8.304054651612578,6.520657504155154,6.523894622234847
LSM6,3.55581615506164,5.785877408859916,6.2679997294517005,6.692091869736851,8.789305403972602,6.240498301990927,6.250537369484653
LSR,0.137503523749935,1.7278596240864914,5.391097461649784,6.77843852461131,8.714657657374936,4.553082034209366,4.553082034209366
LYN,0.0,2.0669502439246266,2.9049644328607154,3.7021030874056557,7.135452784185173,2.8210660306632915,2.814893803548096
LYPLA1,2.6530600171045644,5.474841540697189,5.890811039913505,6.3466018528233255,9.12469000422514,5.88292154253653,5.895515213340323
LYRM1,1.7092906357233577,3.7631458847635377,4.255877117401087,4.769373578040528,7.288819944090487,4.294180702095212,4.273684422899298
MACF1,1.111031312388744,5.498330335880977,6.145778901587736,6.781917009657163,10.281466436000011,6.096058889631225,6.103809318283139
MALT1,0.5558161550616396,2.6937605319173983,3.333423733725192,3.9188630008875127,6.893483562914415,3.36698454628994,3.334612614555733
MAMLD1,0.0,0.2141248053528473,1.2326085070015451,2.3847282292572327,6.56346323668308,1.4557302288710845,1.4484230285737856
MAN2B1,0.4329594072761063,4.449885911016848,4.971772787895958,5.455314865643812,7.783849491678089,4.956655705057835,4.93725415961547
MAP2K5,0.9781956296816516,2.976819885762305,3.363171077119244,3.78345665436024,5.97338167497138,3.3840924128157868,3.3793747868870834
MAP3K4,1.7048719644563528,3.3168692598816754,3.8083846831467514,4.256066792004137,6.114991613333596,3.7883515571914708,3.788003189765386
MAP4K4,0.1890338243900171,5.052780949401797,5.7858109140835605,6.4800225437341945,8.792172096351191,5.6420180662275525,5.771864539504379
MAP7,0.0,0.56549747307563,2.8124978599138233,4.45547549487837,7.115407855414063,2.660259108089425,2.660259108089425
MAPK13,0.0426443374084937,0.9927684307689242,2.6587714287346236,4.322823802645928,6.853746197008764,2.6984902557060635,2.6984902557060635
MAPK1IP1L,2.6507645591169022,5.0441754629345255,5.467279333033894,5.8261016838374795,7.33512233691301,5.430017357029488,5.442702546274
MAPK9,1.3161457422933562,4.198101048684395,4.645298135152352,5.051589571586053,7.960581211353474,4.637008461239513,4.632795329042261
MAPKAPK2,1.839959587489532,4.7588887680104595,5.163498507652443,5.694740909635931,8.045868848928402,5.198170097426914,5.193530519847106
MAPKAPK3,0.4854268271702416,4.195934833519262,4.8487479191375655,5.443689346059899,7.994013939259718,4.825653651279953,4.844116171652958
MAPKAPK5,2.039138393906958,4.674686287994631,4.988455307502251,5.351469251258076,6.497133303671109,4.996018011328827,4.998103633571061
MAST2,1.6507645591169022,3.964395073729515,4.53387447480231,5.003262689694992,6.9415758618182375,4.490057458348803,4.510831862999711
MAT2A,2.6959938131099,7.168745342986189,7.6441806582523135,8.0074194569135,9.47798082494893,7.549388181995104,7.599115017993387
MBNL1,2.077242998932461,4.786334909352919,5.362294442476708,5.911030747419176,8.37998477806204,5.362507415879658,5.374985672143153
MBNL2,0.0426443374084937,3.0561450636242675,3.957914598632985,4.666470474341779,6.691254978650136,3.8112532888692385,3.8643187191629513
MBOAT7,2.2448870591235344,5.163398083821162,5.773732554209165,6.380287730180267,8.863845554122705,5.744784228833617,5.770627430008002
MBTPS1,3.882643049361841,5.172227457331577,5.535274362003225,5.896271604901594,7.47094352153209,5.535578296547673,5.525357326166621
MCM3,3.10936055940423,6.320800495954881,6.892148122401036,7.390663382582735,9.817863047263648,6.800581828239062,6.828541322347505
MCOLN1,0.8718436485093178,3.204371524313058,3.6542059228585595,4.193968779053163,5.96116025813664,3.6697762208441254,3.6770881447981822
MCUR1,2.0107798387532423,3.2824375160556545,3.703763479312796,4.065226851145127,6.116655861582622,3.697144716131553,3.68844078213903
ME2,0.0976107966264223,4.336818113805776,4.989365667211854,5.610286657081023,7.862885275253418,4.919708482340611,4.971684728552992
